habit 	 Arbustes souvent épineux, rarement arbres, souvent lianes inermes.
cymes 	 Cymes longues de 4-8 cm, parfois groupées en panicules; axes à très fine pubérulence rousse (à sec);  bractées deltoïdes de 1 mm ou moins;  cymes multiflores mais contractées aux extrémités. 
pedicels 	 Pédicelle de 2-7 (-9) mm, roux pubérulent.
buds 	 Boutons ovés coniques aigus, longs de 5-6 mm, d'un roux parfois un peu orangé à sec, densément vêtu d'une pubérulence rase.
flowers 	 Fleur jaunâtres, semi-urcéolées, de 10-12 mm de diamètre.
calyx 	 Calice de 3-3,5 mm de diamètre, à lobes ovés quinconciaux de 1 mm.
petals 	 Pétales triangulaires allongés d'environ 4-6 X 1,5-2 mm, à pubérulence microscopique recto et verso.
disk 	 Disque à étroite cupule inférieure peu distinctement pubescente, d'environ 2,5-3 mm de diamètre; court androgynophore à bourrelet latéral pubescent de même diamètre que la cupule. 
filaments 	 Filets staminaux nettement pubérulents; anthère, 0,8 mm de largeur, à fente transversale tournée latéralement. 
ovary 	 Partie visible du sommet de l'ovaire, soit 1/3, glabre; (12)14 ovules par loge. 
style 	 Style pyramidal de 1,5 mm.
valves 	 Valve ou demi-méricarpe de 89 X 15 mm.
seeds 	 Graine de 80 X 21 mm (Zenker 2758).
habit 	 Liane de 5-10 m à écorce brun noirâtre ou grisâtre.
stipules 	 Stipules réduites sur un mince bourrelet transversal.
latex 	 Pas de caoutchouc.
petiole 	 Pétiole de 6-12 mm.
lamina 	 Limbe entier ou confusément crénelé, subcoriace, roussâtre, vernissé dessus à sec, un peu rebordé, de (5)7-16 X (2,5)3-8 cm; base aiguë ou arrondie;  sommet à acumen de 3-9 mm. 
secondary veins 	 Nervures secondaires, 6-8 paires; nervilles inégalement ou peu apparentes à sec. 
inflorescences 	 Inflorescences ramifiées dès la base ou fasciculées à cymes variables, de (2)3-10 cm; axes principaux presque glabres;  ramifications roussâ-tres pubérulentes. 
pedicels 	 Pédicelle ± pubérulent de 2-6 mm.
buds 	 Bouton glabre, oblong ovoïde, arrondi au sommet, à pétales quinconciaux imbriqués mais non cucullés au sommet.
flowers 	 Fleurs verdâtres, blanchâtres, jaunes, jaunâtres ou orangées, de 10-12 mm de diamètre.
sepals 	 Sépales brun vert subor-biculaires, largement imbriqués, ± scabres vers la base, un peu inégaux, larges de 2-2,5 mm, microciliolés.
petals 	 Pétales oblongs à marges amincies, verts à apex brun jaunâtre, ± décombants de 5-7 X 2 mm, micropubéru-lents ou presque glabres dessus, peu distinctement ciliolés.
disk 	 Disque en étroite cupule un peu cachée à la base de l'androgynophore globuleux charnu, de 2,8 mm de diamètre et 1,4 mm de hauteur, glabre.
filaments 	 Filets rubanés de 1,5 mm; anthères jaunes à fente subapicale extrorse, larges de 1 mm. 
pistil 	 Partie visible du pistil 2 mm; style pyramidal;  loges semi-enfoncées contenant 9-16 ovules chacunes. 
mericarps 	 Méricarpes elliptiques de 8-10 X 3-4 mm, glabres.
seeds 	 Graine atteignant 66 X 18 mm, à aile roux clair; partie cotylédonée 30 X 5 mm;  cotylédons soudés;  étuis funiculaires 3 mm. 
habit 	 Liane ligneuse élevée capable d'atteindre 25-50 m de longueur.
internodes 	 Entre-noeuds glabres.
latex 	 Pas de caoutchouc.
stipules 	 Stipules espacées sur de fines crêtes décurrentes.
petiole 	 Pétioles longs de 4-8 mm.
lamina 	 Limbe à dents espacées, parfois médiocrement saillantes mais rarement peu distinctes, elliptique, de 3-13 X 2-6 cm, à sec rebordé et souvent un peu olivacé.
secondary veins 	 Nervures secondaires 5-7 paires; réticule visible non très fin. 
inflorescences 	 Inflorescences le plus souvent en cymes axillaires pauci- ou pluriflo-res, longues de 1-2,5 cm, parfois groupées en panicules, à axes ultimes un peu pubérulents.
pedicels 	 Pédicelle de 1,5-9 mm persistant pour les 2/3 ou 3/4 de sa longueur.
buds 	 Bouton ovale de 4-6 mm, oblong à préfloraison subval-vaire; en fait les pétales sont latéralement depuis la base très étroitement imbriqués, mais non au sommet. 
flowers 	 Fleur blanche devenant jaune ou orangée, de 10-15 mm de diamètre.
sepals 	 Sépales égaux ovés ciliolés.
petals 	 Pétales glabres ± décombants, de 4-7,5 X 1,5-2,5 mm, marginés microfrangés, à sommet obtus un peu relevé en proue de barque.
disk 	 Disque en cupule évasée de 2,5-4 mm de diamètre et 1-1,5 mm de hauteur, vert foncé, à bord finement denticulé festonné, un peu plus large que l'androgynophore; ce dernier en toupie, d'environ 2-2,5 mm de hauteur. 
stamens 	 Étamines un tout petit peu espacées à la base, d'environ 3 mm, enroulées extrorses.
pistil 	 Partie visible du pistil 2,5 mm, subconique; loges semi-enfoncées à (5)9-11 ovules. 
mericarps 	 Méricarpes dépassant 6×3 cm, elliptiques.
seeds 	 Graines ailées.
cotyledons 	 Cotylédons soudés.
habit 	 Liane élevée capable de dépasser 10-30 m de hauteur.
juvenile shoots 	 Jeunes rameaux brun roux pubérulents.
wood 	 Bois creusé de sillons rayonnants: 4 pour 1-1,5 cm de diamètre, puis, par dichotomie des secteurs ligneux, 8, 16 puis environ 32 pour 4 cm de diamètre, sillons de profondeur inégale et ± continus. 
stipules 	 Stipules réduites pubescentes, juxtaposées sur certains noeuds, espacées sans pli transversal sur d'autres.
petiole 	 Pétiole pubescent de 3-8 mm.
lamina 	 Limbe ± discolore, ovale de 4-13 X 1,5-6 cm, entier ou plus rarement un peu crénelé, pubescent dessous, poils simples roux pluricel-lulaires, surtout le long des marges, et spécialement au stade juvénile; extrémités obtuses ou arrondies, le sommet étant parfois un peu acu-miné. 
secondary veins 	 Nervures secondaires, 5-9 paires.
inflorescences 	 Inflorescences en cymes axillaires grêles, longues de 1,5-9 cm, pluri-ou multiflores, parfois groupées en panicules terminales; axes et petites bractées roux tomenteux ainsi que les pédicelles longs de 0,5-3 mm. 
buds 	 Bouton pubescent ± conique.
flowers 	 Fleurs verdâtres, grisâtres ou jaunâtres, parfois un peu rousses, de 3-8 mm de diamètre.
sepals 	 Sépales pubérulents ou velus, deltoïdes ± allongés, de 0,5-1,5 mm.
petals 	 Pétales étroitement triangulaires de 2-5,5 X 0,7-2 mm, à face externe tomenteuse à hirsute, à face interne tomentelleuse à veloutée, nettement valvaires à la préfloraison.
gynandroecium 	 Gynandrocée court et massif; le disque glabre présente un mince et très étroit rebord cupulaire qui peut se réduire à un petit rebord non cupu-laire (Hallé N. 1596). 
stamens 	 Étamines insérées de façon contiguë à 0,2 mm environ au-dessus du disque; filet en trapèze, 0,5-0,7 X 0,6-0,8 mm;  anthère large de 0,2-0,3 mm. 
ovary 	 Ovaire un peu bombé, pubescent autour de la base du style; ce dernier est glabre, cylindroconique tronqué, haut de 0,3 mm environ. 
ovules 	 Ovules 5-10 par loge.
mericarps 	 Méricarpes de 4-7 X 2-4 cm, le plus souvent elliptiques, roussâtres pubérulents puis ± glabrescents.
seeds 	 Graines de 30-36 X 12-15 mm; partie cotylédonée 20 X 7 mm;  cotylédons soudés. 
lamina 	 Limbe foliaire chartacé souvent mince de 5-15 X 2-7 cm.
inflorescences 	 Inflorescences plutôt pauci- ou pluriflores, en cymes axillaires dichasiales simples.
buds 	 Bouton court, brièvement aigu.
flowers 	 Fleurs de 3-5 mm de diamètre.
petals 	 Pétales courts, 1,5-2,5 X 1-2 mm, barbus à l'apex.
anthers 	 Anthères au contact de la corolle dans le bouton.
ovules 	 Ovules 4-? par loge.
seeds 	 Graines atteignant 40-45 mm.
habit 	 Liane dépassant 15 m, à entre-noeuds longtemps vêtus de poils roux ou roussâtres.
wood 	 Bois présentant des sillons rayonnants.
petiole 	 Pétioles velus de 3-8 mm.
lamina 	 Limbe discolore elliptique, glabre dessus, sauf parfois vers la base de la nervure médiane, densément velu dessous, surtout sur la médiane et sur les marges qui sont un peu rebordées; limbe de (3-)6-12 X (2)3-6,5 cm;  base obtuse à un peu cordée;  sommet obtus, largement arrondi ou brièvement subacuminé. 
secondary veins 	 Nervures secondaires 5-8 paires.
inflorescences 	 Inflorescences à base de cymes dichotomes axillaires, ± groupées en panicules, à axes très velus, roux ou roussâtres.
pedicels 	 Pédicelles de 2-6 mm.
buds 	 Boutons subglobuleux coniques, roux velus.
flowers 	 Fleur urcéolée ou semi-urcéolée de 5-9 mm de diamètre.
calyx 	 Calice à lobes hirsutes.
petals 	 Pétales triangulaires de 3-4 X 1,5-2,5 mm, barbus hirsutes.
disk 	 Disque de 1,5-2,5 mm de diamètre, soit en très courte et étroite cupule, soit en très mince bourrelet latéral séparé de Fandrocée par une petite couronne charnue un peu bombée au-dessus du niveau supérieur du disque.
stamens 	 Étamines à filets courts et larges; anthère large de 0,3-0,5 mm. 
ovary 	 Ovaire pubescent autour du style.
ovules 	 4-8 ovules par loge.
mericarps 	 Méricarpes de 5-7 X 3-3,5 cm, roussâtres velus, à l'intérieur roux clair lisses.
funicles 	 Étuis funiculaires d'environ 1,5 mm; réceptacle ± pubescent autour des cicatrices carpellaires. 
seeds 	 Graines uniformément roux clair atteignant 45 X 16 mm; partie cotylédonée de 18-28 X 8 mm. 
cotyledons 	 Cotylédons soudés de 16 X 4,5 X 2 mm.
buds 	 Cette variété se distingue par son bouton plus nettement conique,
sepals 	 par ses sépales un peu arqués extérieurement,
corolla 	 par sa corolle subrotacée.
disk 	 Le disque, nettement cupuliforme a une hauteur de 2,5 mm; le dessus des pétales a une pubérulence très rase;  les marges des pétales présentent quelques glandes;  la villosité de l'inflorescence est extrême. 
habit 	 Liane élevée dépassant 10-15 m, parfois seulement 2 m chez des formes basses héliophiles.
latex 	 Pas de caoutchouc.
old shoots 	 Rameaux âgés criblés de lenticelles rudes.
trunk 	 Tronc jusqu'à 10 cm de diamètre.
wood 	 Bois multisillonné à rayons lacuneux ± interrompus.
petiole 	 Pétiole de 5-10 mm.
lamina 	 Limbe variable suivant les formes: les unes héliophiles à petits limbes vert olive à sec;  d'autres sciaphiles à limbes plus grands souvent bruns ou roussâtres à sec;  forme elliptique assez variable pour une longueur de 2-15 cm;  base subaiguë à arrondie;  sommet acuminé plutôt brièvement;  marge à dents ± nettes, plutôt espacées. 
secondary veins 	 Nervures secondaires 5-9 paires.
inflorescences 	 Inflorescences composées de cymes situées le plus souvent à l'aisselle de feuilles, souvent courtes 1-2,5 cm, pluriflores ou multiflores contractées; axes supérieurs souvent pubérulents ainsi que les pédicel-les, longs de 1-2,4 mm. 
buds 	 Bouton conique de 3-5 X 3-4 mm.
flowers 	 Fleurs vertes urcéolées.
calyx 	 Calice ± pubérulent vers la base; sépales subégaux, ovés ou semi-orbiculaires, souvent microciliolés, parfois avec quelques glandes marginales. 
petals 	 Pétales glabres, triangulaires, se détachant avec une partie du disque, de 4-5×2 mm, à petit mucron charnu au sommet.
disk 	 Disque largement cupuliforme, aminci et adhérent à la base des pétales, à marge un peu sinueuse ou échancrée entre les pétales.
androecium 	 Androcée bas; étamines à filet long, élargi à la base, rubané sur sa plus grande longueur, à anthère orangé vif large de 0,7-1 mm, partagée en 4 locelles bombées. 
pistil 	 Pistil long et subulé, de 2,5-3 mm, le style dépassant beaucoup les étamines dans le jeune bouton.
ovary 	 Ovaire peu enfoncé à paroi mince; (8)10-14 ovules par loge. 
mericarps 	 Méricarpes de 4-8 X 2-4 cm.
seeds 	 Graines roux clair à aile ochracée translucide; partie cotylédonée 15-20 X 8 mm;  cotylédons soudés. 
funicles 	 Étuis funiculaires d'environ 2,5 mm.
disk 	 Cette variété se distingue par son disque épais tronconique non relevé latéralement en cupule et non adhérent aux pétales qui sont ± étalés.
disk 	 Le disque est ± tronconique ou patelliforme et son bord inférieur est aminci sans être cupuliforme.
habit 	 Grandes lianes inermes à filaments de caoutchouc; bois à 4 (X 1-3) sillons ± profonds. 
leaves 	 Feuilles opposées pétiolées.
stipules 	 Stipules espacées ou jointives aux noeuds.
lamina 	 Limbe denté ou entier.
inflorescences 	 Inflorescences en cymes compliquées de fleurs surnuméraires ou de ramifications supplémentaires.
flowers 	 Fleurs pédicellées petites (ou moyennes), à 5 sépales et 5 pétales valvaires (ou imbriqués), tomenteux (ou ± pileux) sur les deux faces.
disk 	 Disque circulaire simple, annulaire (ou en coussinet ± épais), glabre (ou pubérulent).
stamens 	 Étamines 3, transversalement déhiscentes; pollen en grosses polyades, de 4 tétrades ou 16 monades, calymnées;  3-4 pores par monade mais pas de sillons. 
ovary 	 Ovaire ± enfoncé.
style 	 Style atténué; stigmate ponctiforme ou trilobulé. 
ovules 	 4-8 ovules par loge.
fruits 	 Fruit glabre tricarpellé; 4-8 graines par méricarpe;  déhiscence en 6 valves. 
receptacle 	 Réceptacle persistant avec les étuis funiculaires comprimés triangulaires.
seeds 	 Graines ailées à raphé transalaire, à tégument glabre.
cotyledons 	 Cotylédons séparés ou soudés présentant des filaments de caoutchouc à la cassure; petite radicule nettement saillante. 
habit 	 Liane élevée dépassant 15-45 m de longueur, à jeunes rameaux latéraux cylindriques glabres, ± vêtus d'une pruine blanc bleuâtre.
shoots 	 Rameaux aoûtés ± lenticellés.
cork 	 Liège couvrant une fine couche orangée.
wood 	 Vieux bois à 4 sillons atteignant 20 cm de diamètre, à écorce grisâtre un peu rugueuse.
stipules 	 Stipules sur un fin bourrelet transversal, parfois ± confluentes ou même réduites à une seule paire par noeud.
petiole 	 Pétiole de 5-13(-20) mm.
lamina 	 Limbe chartacé à subcoriace, discolore souvent brun à sec, ovale ou obové, parfois obdeltoïde, de 4-15 X 2,5-8(-10) cm; base en coin ou obtuse;  sommet acuminé ou tronqué;  marge entière (sauf dans les formes juvéniles). 
secondary veins 	 Nervures secondaires 4-7(8) paires.
inflorescences 	 Inflorescences en grandes cymes abondamment pourvues de ramifications supplémentaires, parfois disposées en panicules, à pédoncules des cymes longs de 3-8 cm; axes ± pubérulents blanc jaunâtre, à 7-8 niveaux de ramifications cylindriques;  ultimes ramifications dichotomes;  petites bractées aiguës. 
pedicels 	 Pédicelles pubérulents de 1-2,5 mm.
buds 	 Boutons globuleux de 0,8-1,2 mm de diamètre, à préfloraison valvaire.
flowers 	 Fleurs très nombreuses de 1,5-4 mm de diamètre, blanches ou jaune pâle.
calyx 	 Calice à 5 lobes deltoïdes égaux, d'environ 0,4 mm, et pubérulents.
petals 	 Pétales ± subérigés deltoïdes, longs de 1-1,5 mm, pubérulents à l'extérieur, velus à l'intérieur sauf à la base.
disk 	 Disque blanc ou vert, étroitement annulaire plutôt que cupuliforme.
stamens 	 Étamines insérées dans un sillon péri-gyne, à filets courts, à anthères pubérulentes; pollen jaune clair. 
ovary 	 Ovaire glabre, 2/3 enfoncé et trilobé; 4-8 ovules dans chacune des 3 loges. 
style 	 Style très court; stigmate à très petits lobes oppositistémones. 
juvenile fruits 	 Fruits juvéniles à pruine bleuâtre; méricarpes subérigés atteignant 5-9,5 X 1,7-3 cm, longuement oblongs ou atténués, émarginés ou non au sommet. 
seeds 	 Graine contenant du caoutchouc, de (3)4-6,8 X 1,2-1,8 cm, à tégument brun noirâtre et aile roux saumoné pâle.
cotyledons 	 Cotylédons adhérents, difficilement séparables, souvent longs et étroits.
funicles 	 Étuis funiculaires longs de 2,2-5 mm.
habit 	 Liane glabre à filaments de caoutchouc.
wood 	 Coupe du vieux bois à contour denté crénelé.
leaves 	 Feuilles opposées pétiolées.
stipules 	 Stipules extra-pétiolaires.
lamina 	 Limbe denté.
inflorescences 	 Inflorescences axillaires en cymes dichotomes sans fleurs surnuméraires ni rameaux supplémentaires.
small bracts 	 Petites bractées opposées aiguës persistantes.
buds 	 Bouton large et court.
calyx 	 Calice à 5 pétales quinconciaux, petits.
corolla 	 Corolle très charnue ne s'étalant pas; 5 pétales juxtaposés à la base, inégaux imbriqués latéralement, non couvrants entre eux au sommet du bouton. 
